year,price
2014-06-18,25.9
2014-06-19,22.8
2014-06-20,21.3
2014-06-21,21.6
2014-06-22,21.7
2014-06-24,21.9
2014-06-25,24.6
2014-06-26,23.9
2014-06-27,22.7
2014-06-28,25.0
2014-06-29,25.1
2014-07-01,21.8
2014-07-02,19.4
2014-07-03,15.7
2014-07-04,13.3
2014-07-05,14.0
2014-07-06,15.3
2014-07-08,15.2
2014-07-09,15.5
2014-07-10,17.6
2014-07-11,17.9
2014-07-12,17.2
2014-07-13,16.5
2014-07-15,16.5
2014-07-16,17.0
2014-07-17,15.1
2014-07-18,13.0
2014-07-19,14.7
2014-07-20,17.0
2014-07-22,19.8
2014-07-23,22.7
2014-07-24,21.8
2014-07-25,20.4
2014-07-26,23.9
2014-07-27,25.9
2014-07-29,23.9
2014-07-30,22.0
2014-07-31,20.6
2014-08-01,21.6
2014-08-02,25.0
2014-08-03,27.2
2014-08-05,27.4
2014-08-06,28.3
2014-08-07,30.7
2014-08-08,33.3
2014-08-09,35.2
2014-08-10,36.7
2014-08-13,32.7
2014-08-14,33.4
2014-08-15,32.6
2014-08-16,35.2
2014-08-17,37.7
2014-08-19,34.8
2014-08-20,33.2
2014-08-21,36.5
2014-08-22,37.3
2014-08-23,38.5
2014-08-24,38.0
2014-08-26,36.8
2014-08-27,36.1
2014-08-28,34.8
2014-08-29,30.5
2014-08-30,28.8
2014-08-31,28.1
2014-09-02,27.1
2014-09-03,27.5
2014-09-04,24.6
2014-09-05,21.9
2014-09-06,21.6
2014-09-07,21.1
2014-09-08,22.1
2014-09-11,21.5
2014-09-12,19.0
2014-09-13,19.1
2014-09-14,19.8
2014-09-16,19.6
2014-09-17,20.9
2014-09-18,20.5
2014-09-19,19.3
2014-09-20,20.7
2014-09-21,20.8
2014-09-23,23.1
2014-09-24,23.9
2014-09-25,21.9
2014-09-26,21.2
2014-09-27,22.8
2014-09-28,24.8
2014-09-30,25.8
2014-10-01,26.0
2014-10-02,26.3
2014-10-03,25.5
2014-10-04,26.0
2014-10-05,27.2
2014-10-07,26.9
2014-10-08,28.6
2014-10-09,27.8
2014-10-10,28.1
2014-10-11,30.1
2014-10-12,30.9
2014-10-14,29.2
2014-10-15,27.9
2014-10-16,28.9
2014-10-17,28.4
2014-10-18,28.8
2014-10-19,28.8
2014-10-21,29.9
2014-10-22,31.1
2014-10-23,31.2
2014-10-24,30.2
2014-10-25,29.5
2014-10-26,30.2
2014-10-28,29.1
2014-10-29,26.6
2014-10-30,23.0
2014-10-31,20.6
2014-11-01,20.2
2014-11-02,20.9
2014-11-04,21.8
2014-11-05,25.2
2014-11-06,29.2
2014-11-07,27.6
2014-11-08,26.7
2014-11-09,27.8
2014-11-11,29.8
2014-11-12,28.5
2014-11-13,27.8
2014-11-14,25.6
2014-11-15,25.6
2014-11-16,27.6
2014-11-18,27.8
2014-11-19,26.8
2014-11-20,27.9
2014-11-21,29.5
2014-11-22,28.9
2014-11-23,31.3
2014-11-25,30.1
2014-11-26,29.1
2014-11-27,27.4
2014-11-28,25.5
2014-11-29,25.2
2014-11-30,25.7
2014-12-02,24.9
2014-12-03,25.3
2014-12-04,26.6
2014-12-05,26.9
2014-12-06,28.0
2014-12-07,28.5
2014-12-09,28.9
2014-12-10,27.4
2014-12-11,26.0
2014-12-12,23.1
2014-12-13,21.0
2014-12-14,21.1
2014-12-16,22.2
2014-12-17,23.2
2014-12-18,23.3
2014-12-19,24.5
2014-12-20,25.0
2014-12-23,28.0
2014-12-24,28.0
2014-12-25,28.4
2014-12-26,29.1
2014-12-27,29.5
2014-12-28,28.6
2014-12-30,28.8
2014-12-31,31.1
2015-01-01,34.1
2015-01-02,35.0
2015-01-03,33.9
2015-01-04,35.5
2015-01-06,35.7
2015-01-07,34.5
2015-01-08,35.4
2015-01-09,33.9
2015-01-10,32.8
2015-01-11,31.7
2015-01-13,32.2
2015-01-14,32.9
2015-01-15,33.3
2015-01-16,33.8
2015-01-17,34.7
2015-01-18,36.3
2015-01-20,35.8
2015-01-21,33.9
2015-01-22,34.3
2015-01-23,35.0
2015-01-24,34.9
2015-01-25,34.1
2015-01-27,32.5
2015-01-28,32.2
2015-01-29,34.3
2015-01-30,33.9
2015-01-31,36.2
2015-02-01,38.0
2015-02-03,37.5
2015-02-04,36.3
2015-02-05,33.0
2015-02-06,31.2
2015-02-07,33.4
2015-02-08,33.8
2015-02-10,32.8
2015-02-11,32.3
2015-02-12,33.0
2015-02-13,32.9
2015-02-14,33.5
2015-02-15,33.1
2015-02-16,32.6
2015-02-17,29.0
2015-02-18,31.1
2015-02-24,31.8
2015-02-25,30.6
2015-02-26,30.4
2015-02-28,32.3
2015-03-01,34.6
2015-03-03,37.3
2015-03-04,35.7
2015-03-05,36.6
2015-03-06,36.7
2015-03-10,33.5
2015-03-11,30.4
2015-03-12,29.0
2015-03-13,28.1
2015-03-14,31.1
2015-03-15,33.3
2015-03-17,30.9
2015-03-18,30.7
2015-03-19,36.7
2015-03-20,35.6
2015-03-21,33.3
2015-03-22,32.8
2015-03-24,37.5
2015-03-25,35.1
2015-03-26,32.9
2015-03-27,29.5
2015-03-28,26.8
2015-03-29,29.4
2015-03-31,32.7
2015-04-01,30.2
2015-04-02,28.7
2015-04-03,26.0
2015-04-04,24.3
2015-04-07,22.7
2015-04-08,21.9
2015-04-09,22.5
2015-04-10,22.4
2015-04-11,23.9
2015-04-12,24.9
2015-04-14,24.9
2015-04-15,23.9
2015-04-16,22.9
2015-04-17,22.2
2015-04-18,22.6
2015-04-19,23.2
2015-04-21,23.3
2015-04-22,23.0
2015-04-23,23.9
2015-04-24,25.3
2015-04-25,26.0
2015-04-26,26.8
2015-04-28,27.7
2015-04-29,28.2
2015-04-30,28.6
2015-05-01,27.8
2015-05-02,26.7
2015-05-03,26.6
2015-05-05,26.1
2015-05-06,24.1
2015-05-07,23.7
2015-05-08,25.6
2015-05-09,27.4
2015-05-10,27.4
2015-05-12,25.4
2015-05-13,25.3
2015-05-14,25.4
2015-05-15,24.8
2015-05-16,24.3
2015-05-17,24.8
2015-05-19,27.4
2015-05-20,26.1
2015-05-21,22.9
2015-05-22,21.7
2015-05-23,22.5
2015-05-24,22.7
2015-05-26,22.8
2015-05-27,23.7
2015-05-28,23.2
2015-05-29,21.8
2015-05-30,25.3
2015-05-31,27.0
2015-06-02,26.3
2015-06-03,26.0
2015-06-04,24.4
2015-06-05,23.3
2015-06-06,22.9
2015-06-07,21.0
2015-06-09,22.8
2015-06-10,22.6
2015-06-11,20.9
2015-06-12,19.9
2015-06-13,20.0
2015-06-14,21.8
2015-06-16,21.3
2015-06-17,17.5
2015-06-18,16.1
2015-06-19,15.4
2015-06-20,15.1
2015-06-23,14.8
2015-06-24,15.2
2015-06-25,13.5
2015-06-26,12.7
2015-06-27,12.3
2015-06-28,13.1
2015-06-30,14.1
2015-07-01,13.8
2015-07-02,13.5
2015-07-03,14.0
2015-07-04,14.5
2015-07-05,16.0
2015-07-07,16.5
2015-07-08,16.8
2015-07-09,16.0
2015-07-10,14.1
2015-07-11,15.8
2015-07-12,17.9
2015-07-14,19.0
2015-07-15,21.5
2015-07-16,21.8
2015-07-17,22.3
2015-07-18,25.6
2015-07-19,25.5
2015-07-21,24.1
2015-07-22,26.2
2015-07-23,27.1
2015-07-24,28.1
2015-07-25,26.5
2015-07-26,25.9
2015-07-28,27.3
2015-07-29,27.3
2015-07-30,27.3
2015-07-31,27.6
2015-08-01,26.1
2015-08-02,26.6
2015-08-04,28.8
2015-08-05,28.4
2015-08-06,28.8
2015-08-07,27.9
2015-08-08,25.2
2015-08-09,23.9
2015-08-11,27.7
2015-08-12,29.1
2015-08-13,31.4
2015-08-14,31.7
2015-08-15,33.0
2015-08-16,34.8
2015-08-18,33.2
2015-08-19,30.0
2015-08-20,26.4
2015-08-21,24.6
2015-08-22,24.5
2015-08-23,25.9
2015-08-25,25.8
2015-08-26,28.4
2015-08-27,32.1
2015-08-28,33.7
2015-09-01,36.4
2015-09-02,37.7
2015-09-03,43.2
2015-09-04,46.4
2015-09-05,46.1
2015-09-06,48.6
2015-09-08,47.1
2015-09-09,52.2
2015-09-10,56.1
2015-09-11,59.5
2015-09-12,59.0
2015-09-13,57.1
2015-09-15,56.7
2015-09-16,56.6
2015-09-17,49.8
2015-09-18,45.5
2015-09-19,47.4
2015-09-20,50.0
2015-09-22,49.3
2015-09-23,48.6
2015-09-24,46.9
2015-09-25,44.7
2015-09-26,46.6
2015-09-27,46.8
2015-09-30,44.3
2015-10-01,43.2
2015-10-02,45.0
2015-10-03,46.8
2015-10-04,47.8
2015-10-06,47.5
2015-10-07,48.1
2015-10-08,50.8
2015-10-09,46.6
2015-10-10,45.7
2015-10-11,48.6
2015-10-13,53.3
2015-10-14,50.4
2015-10-15,52.0
2015-10-16,54.3
2015-10-17,55.6
2015-10-18,55.5
2015-10-20,56.2
2015-10-21,57.5
2015-10-22,58.1
2015-10-23,61.1
2015-10-24,62.7
2015-10-25,65.5
2015-10-27,66.3
2015-10-28,65.6
2015-10-29,63.9
2015-10-30,67.5
2015-10-31,69.6
2015-11-01,70.8
2015-11-03,70.6
2015-11-04,65.3
2015-11-05,59.5
2015-11-06,58.8
2015-11-07,58.2
2015-11-08,56.3
2015-11-10,56.9
2015-11-11,57.4
2015-11-12,59.6
2015-11-13,55.0
2015-11-14,57.5
2015-11-15,55.5
2015-11-17,53.8
2015-11-18,51.3
2015-11-19,49.2
2015-11-20,48.4
2015-11-21,49.1
2015-11-22,48.6
2015-11-24,50.7
2015-11-25,54.8
2015-11-26,55.0
2015-11-27,54.0
2015-11-28,54.5
2015-11-29,54.9
2015-12-01,53.5
2015-12-02,53.8
2015-12-03,52.7
2015-12-04,49.8
2015-12-05,47.1
2015-12-06,46.3
2015-12-08,49.0
2015-12-09,51.7
2015-12-10,54.2
2015-12-11,54.3
2015-12-12,54.3
2015-12-13,53.9
2015-12-15,55.0
2015-12-16,53.2
2015-12-17,52.9
2015-12-18,52.9
2015-12-19,51.9
2015-12-20,52.7
2015-12-22,55.2
2015-12-23,55.0
2015-12-24,55.6
2015-12-25,57.8
2015-12-26,56.0
2015-12-27,56.0
2015-12-29,55.9
2015-12-30,55.6
2015-12-31,54.8
2016-01-01,53.4
2016-01-02,53.6
2016-01-03,53.0
2016-01-05,52.5
2016-01-06,51.6
2016-01-07,48.5
2016-01-08,49.1
2016-01-09,54.6
2016-01-10,54.5
2016-01-12,52.6
2016-01-13,50.9
2016-01-14,51.7
2016-01-15,51.5
2016-01-16,47.8
2016-01-17,43.9
2016-01-19,46.0
2016-01-20,48.7
2016-01-21,49.3
2016-01-22,50.8
2016-01-23,51.1
2016-01-24,50.3
2016-01-26,52.5
2016-01-27,53.3
2016-01-28,59.4
2016-01-29,54.4
2016-01-30,55.8
2016-01-31,56.5
2016-02-01,55.1
2016-02-02,51.2
2016-02-03,51.5
2016-02-04,50.1
2016-02-05,46.5
2016-02-06,45.5
2016-02-07,46.1
2016-02-13,46.7
2016-02-14,49.8
2016-02-17,52.9
2016-02-18,52.5
2016-02-19,56.7
2016-02-20,58.7
2016-02-21,58.3
2016-02-25,57.5
2016-02-26,55.3
2016-02-27,55.8
2016-02-28,55.9
2016-03-01,58.9
2016-03-02,58.8
2016-03-03,59.0
2016-03-04,62.2
2016-03-05,60.0
2016-03-06,62.2
2016-03-08,69.3
2016-03-09,72.3
2016-03-10,69.7
2016-03-11,63.8
2016-03-12,60.4
2016-03-13,60.1
2016-03-15,61.8
2016-03-16,62.8
2016-03-17,64.6
2016-03-18,65.6
2016-03-19,63.6
2016-03-20,62.2
